Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Sergipe;Sergipe;7-RO-499-SE;7RO499SE;RIACHUELO;Carmo;480000038609782;2023/07;3,8916;0;3,8916;0,0202;0;0,0202;0,626;7,2996;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Bahia;Recôncavo;1-LM-1-BA;1LM  0001  BA;LAMARÃO;Petrobras;480000036649744;2023/07;0;0;0;0;0,0744;0,0744;2,302;0;Estação Lamarão;INSTALACAO EMB/DESEMB;744;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;84,139;8,068;3,25;0,611;0,897;0,29;0,342;0,36;0,316;0,204;0,052;0;0;0,012;0,42;1,039;2,02341;530,81695;39594,5525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-497-SE;7RO497SE;RIACHUELO;Carmo;480000038609782;2023/07;29,7543;0;29,7543;0,1544;0;0,1544;4,787;213,2341;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-892-CE;7FZB892CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/07;4,5707;0;4,5707;0,0057;0;0,0057;0,177;45,9523;Estação Coletora Faz. Belém 9 (Faz. Belém);INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;04/09/2023 02:36
Sergipe;Sergipe;7-RO-486D-SE;7RO486DSE;RIACHUELO;Carmo;480000038609782;2023/07;7,2199;0;7,2199;0,0375;0;0,0375;1,162;283,1252;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;662;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Bahia;Recôncavo;4-BRSA-612D-BA;4LM19DBA;LAMARÃO;Petrobras;480000036649744;2023/07;0;5,6387;5,6387;0;4,1125;4,1125;127,275;2,2893;Estação Lamarão;INSTALACAO EMB/DESEMB;622;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;84,139;8,068;3,25;0,611;0,897;0,29;0,342;0,36;0,316;0,204;0,052;0;0;0,012;0,42;1,039;2,02341;530,81695;39594,5525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-485D-SE;7RO485DSE;RIACHUELO;Carmo;480000038609782;2023/07;8,6558;0;8,6558;0,0449;0;0,0449;1,393;239,966;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-893-CE;7FZB893CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/07;3,588;0;3,588;0,0043;0;0,0043;0,133;84,2871;Estação Coletora Faz. Belém 10 (ET-III);INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;04/09/2023 02:36
Sergipe;Sergipe;7-RO-476-SE;7RO476SE;RIACHUELO;Carmo;480000038609782;2023/07;1,6546;0;1,6546;0,0086;0;0,0086;0,266;18,1422;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;126;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Bahia;Recôncavo;7-LM-17-BA;7LM  0017  BA;LAMARÃO;Petrobras;480000036649744;2023/07;0;0;0;0;0,1207;0,1207;3,735;0;Estação Lamarão;INSTALACAO EMB/DESEMB;600;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;84,139;8,068;3,25;0,611;0,897;0,29;0,342;0,36;0,316;0,204;0,052;0;0;0,012;0,42;1,039;2,02341;530,81695;39594,5525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-472-SE;7RO472SE;RIACHUELO;Carmo;480000038609782;2023/07;5,3652;0;5,3652;0,0278;0;0,0278;0,863;77,6021;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;738;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;73,95225;3,48575;4,73015;1,78295;2,3053;1,28725;0,66005;0,18835;0;0;0;0;0;0;0,4165;11,19145;2,10817;541,01718;33964,8925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-894-CE;7FZB894CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/07;2,042;0;2,042;0,0025;0;0,0025;0,077;5,3248;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-80-RN;7ARG 0080  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/07;0;0;0;0;0;0;0;0;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;04/09/2023 02:36
Rio Grande do Norte;Potiguar;3-LV-42-RN;3LV  0042  RN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/07;5,0122;0;5,0122;4,4462;0;4,4462;137,314;2,4725;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;78,3124;9,8963;6,1076;0,9501;1,5873;0,34;0,3856;0,192;0,0874;0,0295;0,0161;0,0017;0;0,005;1,7875;0,3015;2,00762;528,9625;40013,0337;04/09/2023 02:36
