Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;7-SER-25DP-RNS;7SER25DPRNS;MACAU;3R Macau;480000038089762;2023/03;12,4088;0,0000;12,4088;0,0397;0,0000;0,0397;1,23000;45,1570;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;736;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-37D-RNS;7SER37DRN;MACAU;3R Macau;480000038089762;2023/03;180,0103;0,0000;180,0103;1,1502;0,0000;1,1502;35,65600;241,3483;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;734;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-24DP-RNS;7SER24DPRNS;MACAU;3R Macau;480000038089762;2023/03;12,3278;0,0000;12,3278;0,0852;0,0000;0,0852;2,64200;1.473,5588;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;735;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-33D-RNS;7SER33DRNS;MACAU;3R Macau;480000038089762;2023/03;155,7998;0,0000;155,7998;0,2992;0,0000;0,2992;9,27400;1.406,8205;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;730;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio de Janeiro;Campos;7-BR-69DA-RJS;7BR69DARJS;CARATINGA;Petrobras;480000038979792;2023/03;2.200,2054;0,0000;2.200,2054;47,9184;0,0000;47,9184;1.485,46900;1.807,4546;PETROBRAS 43;UEP;387;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-BR-51HP-RJS;7BR51HPRJS;CARATINGA;Petrobras;480000038979792;2023/03;278,1380;0,0000;278,1380;2,7743;0,0000;2,7743;86,00300;715,2121;PETROBRAS 43;UEP;654;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-BR-29HPA-RJS;7BR29HPARJS;CARATINGA;Petrobras;480000038979792;2023/03;134,9274;0,0000;134,9274;2,6137;0,0000;2,6137;81,02500;336,8467;PETROBRAS 43;UEP;654;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-BR-44HP-RJS;7BR44HPRJS;CARATINGA;Petrobras;480000038979792;2023/03;393,2982;0,0000;393,2982;4,6660;0,0000;4,6660;144,64500;320,4916;PETROBRAS 43;UEP;654;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-BR-42HP-RJS;7BR42HPRJS;CARATINGA;Petrobras;480000038979792;2023/03;382,8709;0,0000;382,8709;7,4611;0,0000;7,4611;231,29300;124,2428;PETROBRAS 43;UEP;642;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;9-BR-82DB-RJS;9BR82DBRJS;CARATINGA;Petrobras;480000038979792;2023/03;4.838,5232;0,0000;4.838,5232;99,4408;0,0000;99,4408;3.082,66500;4,8434;PETROBRAS 48;UEP;249;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
