Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-CAM-113-RN;7CAM 0113  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/04;0,977;0;0,977;0,0002;0;0,0002;0,004;91,57;Estação Coletora Canto do Amaro F;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;03/06/2023 02:38
Rio Grande do Norte;Potiguar;7-CAM-849-RN;7CAM849RN;CANTO DO AMARO;Petrobras;480000037929724;2023/04;1,2276;0;1,2276;0,0002;0;0,0002;0,005;5,9254;Estação Coletora Canto do Amaro F;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;03/06/2023 02:38
Rio Grande do Norte;Potiguar;7-ET-1209-RN;7ET1209RN;ESTREITO;Petrobras;480000037939797;2023/04;7,9616;0;7,9616;0,0033;0;0,0033;0,099;485,7996;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;478;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;03/06/2023 02:38
Sergipe;Sergipe;7-CP-1448-SE;7CP1448SE;CARMÓPOLIS;Carmo;480000038479714;2023/04;13,9491;0;13,9491;0,0301;0;0,0301;0,903;767,8938;Estação Coletora de Santa Barbara;INSTALACAO EMB/DESEMB;702;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;03/06/2023 02:39
Bahia;Recôncavo;7-ROV-22-BA;7ROV 0022  BA;RIO DOS OVOS;PetroRecôncavo;480000036879740;2023/04;7,6557;0;7,6557;0,074;0;0,074;2,221;0,0312;Estação Coletora Rio dos Ovos;INSTALACAO EMB/DESEMB;720;;;;< ºC;%;;%;> ºC;%;71,0963;9,7159;7,68;1,2842;2,7001;0,7053;0,9808;0,7623;0,5437;0,2609;0,0482;0,004;0;0,0179;3,6576;0,5428;2,03738;532,50393;39175,3335;03/06/2023 02:39
Espírito Santo;Espírito Santo;1-VITA-2A-ES;1PG01AES;TUCANO;Vipetro;48610001402200835;2023/04;9,984;0;9,984;0,0238;0;0,0238;0,714;40,3737;Estação de Coleta e Tratamento de Petróleo Tucano;INSTALACAO EMB/DESEMB;720;2016/02;Gaivota;16;< 290ºC;8.1%;290ºC a 380ºC;16.4%;> 380ºC;75.5%;;;;;;;;;;;;;;;;;;;;03/06/2023 02:38
Rio Grande do Norte;Potiguar;7-ARG-537-RN;7ARG537RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/04;14,9146;0;14,9146;0,0092;0;0,0092;0,277;655,2051;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;717;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;03/06/2023 02:39
Rio Grande do Norte;Potiguar;7-CAM-1049-RN;7CAM1049RN;CANTO DO AMARO;Petrobras;480000037929724;2023/04;0,8288;0;0,8288;0,0001;0;0,0001;0,003;27,0825;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;714;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;03/06/2023 02:38
Rio Grande do Norte;Potiguar;7-CAM-70-RN;7CAM 0070  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/04;7,1113;0;7,1113;0,0011;0;0,0011;0,033;211,6435;Estação Coletora Canto do Amaro A;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;03/06/2023 02:38
Rio Grande do Norte;Potiguar;7-CAM-641-RN;7CAM 0641  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/04;7,558;0;7,558;0,0012;0;0,0012;0,035;334,998;Estação Coletora Canto do Amaro D;INSTALACAO EMB/DESEMB;282;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;03/06/2023 02:38
