Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Sergipe;Sergipe;4-GALP-36-SE;4BRAHMA1SE;RABO BRANCO;Petrom;48610009198200558;2023/03;105,9228;0,0000;105,9228;1,3885;0,0000;1,3885;43,04500;1,4262;Ponto de Coleta TLD 4-GALP-36-SE;INSTALACAO EMB/DESEMB;744;2020/01;RABO BRANCO;34,9;< 270ºC;35.6%;270ºC a 458ºC;33.1%;> 458ºC;31.3%;68,9969;11,3481;6,9599;1,6022;2,337;1,0817;0,6123;0,2551;0;0;0;0;0;0;6,5211;0,2857;2,04797;533,79764;38542,78;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1092D-RN;7ET1092DRN;ESTREITO;Petrobras;480000037939797;2023/03;0,7116;0,0000;0,7116;0,0003;0,0000;0,0003;0,00900;133,5619;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;698;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-812H-BA;7DJ812HBA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;6,1384;0,0000;6,1384;0,0031;0,0000;0,0031;0,09600;103,4812;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;591;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Paraná;Paraná;3-BB-2D-PR;3BB  0002D PR;BARRA BONITA;Barra Bonita;48610001999201628;2023/03;0,0000;0,0000;0,0000;0,0000;5,6326;5,6326;174,61000;0,0000;Estação de Produção de Barra Bonita;INSTALACAO EMB/DESEMB;450;;;;< ºC;%;;%;> ºC;%;92,2989;4,508;0,9183;0,1357;0,1565;0,073;0,0313;0,0104;0;0;0;0;0;0;1,6488;0,2191;1,97673;525,25632;38298,6027;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1137D-RN;7ET1137DRN;ESTREITO;Petrobras;480000037939797;2023/03;0,4005;0,0000;0,4005;0,0002;0,0000;0,0002;0,00500;136,5008;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;131;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;3-RO-7-BA;3RO  0007  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036719718;2023/03;0,0243;0,0000;0,0243;0,0070;0,0000;0,0070;0,21600;0,7883;Estação Remanso;INSTALACAO EMB/DESEMB;716;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;09/05/2023
Espírito Santo;Espírito Santo;7-LP-23-ES;7LP  0023  ES;LAGOA PARDA;Capixaba Energia;480000037529718;2023/03;11,3002;0,0000;11,3002;0,0598;0,0000;0,0598;1,75900;698,7648;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;649;2022/02;Lagoa Parda;28,2;< 270ºC;30.6%;270ºC a 458ºC;38.2%;> 458ºC;31.2%;86,7084;5,2114;3,2063;0,675;1,2507;0,5857;0,4765;0,1787;0;0;0;0;0;0;0,7643;0,943;2,05664;534,82687;38635,247;09/05/2023
Rio Grande do Norte;Potiguar;7-PQO-2-RN;PQO-2;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2023/03;4,1843;0,0000;4,1843;0,8466;0,0000;0,8466;26,24600;69,0473;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;744;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;09/05/2023
Rio Grande do Norte;Potiguar;7-FP-372-RN;7FP372RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/03;1,9933;0,0000;1,9933;0,0195;0,0000;0,0195;0,60300;431,6258;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;742;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-871-RN;7ET871RN;ESTREITO;Petrobras;480000037939797;2023/03;5,3467;0,0000;5,3467;0,0022;0,0000;0,0022;0,06900;278,9180;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;509;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
