Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;7-ET-1828-RN;7ET1828RN;ESTREITO;Petrobras;480000037939797;2023/03;2,8241;0,0000;2,8241;0,0012;0,0000;0,0012;0,03600;193,5979;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;596;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Sergipe;Sergipe;7-SZ-269-SE;7SZ  0269  SE;SIRIRIZINHO;Carmo;480000038629716;2023/03;0,1144;0,0000;0,1144;0,0006;0,0000;0,0006;0,02000;7,9542;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;32;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;68,0469;6,4159;7,7088;2,6927;3,2177;1,7595;0,7194;0,1944;0;0;0;0;0;0;0,4569;8,7878;2,0905;538,90301;35822,8537;09/05/2023
Ceará;Potiguar;7-FZB-158-CE;7FZB 0158  CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;2,3871;0,0000;2,3871;0,0030;0,0000;0,0030;0,09400;1,2379;ETO de Fazenda Belém;INSTALACAO EMB/DESEMB;731;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-892D-BA;7DJ892DBA;DOM JOÃO MAR;3R Candeias  S.A.;480000036449737;2023/03;2,2913;0,0000;2,2913;0,0029;0,0000;0,0029;0,09000;1,2878;Estação Dom João;INSTALACAO EMB/DESEMB;722;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;80,98;6,59;3,62;1,5;1,8;0,72;0,66;0,51;0,17;0,12;0;0;0;0;1,44;1,89;2,11655;542,00821;38425,3348;09/05/2023
Bahia;Recôncavo;7-CX-49-BA;7CX  0049  BA;CEXIS;3R Candeias  S.A.;480000036419749;2023/03;3,7668;0,0000;3,7668;0,0898;0,0000;0,0898;2,76600;10,8653;Estação Cexis;INSTALACAO EMB/DESEMB;712;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;79,58;7,7;3,75;0,83;1,16;0,33;0,4;0,32;0,13;0,04;0;0;0;0,01;5,2;0,55;2,03968;532,79462;37764,436;09/05/2023
Ceará;Potiguar;7-FZB-742-CE;7FZB742CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;0,4508;0,0000;0,4508;0,0006;0,0000;0,0006;0,01800;7,8623;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;239;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1753-RN;7ET1753RN;ESTREITO;Petrobras;480000037939797;2023/03;1,1685;0,0000;1,1685;0,0005;0,0000;0,0005;0,01500;570,9934;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;739;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1293D-RN;7ET1293DRN;ESTREITO;Petrobras;480000037939797;2023/03;15,7779;0,0000;15,7779;0,0065;0,0000;0,0065;0,20200;124,7330;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;585;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1850-RN;7ET1850RN;ESTREITO;Petrobras;480000037939797;2023/03;0,5225;0,0000;0,5225;0,0002;0,0000;0,0002;0,00700;131,2420;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;729;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Sergipe;Sergipe;7-SZ-267-SE;7SZ  0267  SE;SIRIRIZINHO;Carmo;480000038629716;2023/03;3,5379;0,0000;3,5379;0,0195;0,0000;0,0195;0,60400;27,4534;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;715;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;68,0469;6,4159;7,7088;2,6927;3,2177;1,7595;0,7194;0,1944;0;0;0;0;0;0;0,4569;8,7878;2,0905;538,90301;35822,8537;09/05/2023
Ceará;Potiguar;7-FZB-303-CE;7FZB 0303  CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;3,0301;0,0000;3,0301;0,0038;0,0000;0,0038;0,11900;23,8061;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;728;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-893D-BA;7DJ893DBA;DOM JOÃO MAR;3R Candeias  S.A.;480000036449737;2023/03;1,8819;0,0000;1,8819;0,0058;0,0000;0,0058;0,18000;57,4217;Estação Dom João;INSTALACAO EMB/DESEMB;690;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;80,98;6,59;3,62;1,5;1,8;0,72;0,66;0,51;0,17;0,12;0;0;0;0;1,44;1,89;2,11655;542,00821;38425,3348;09/05/2023
Bahia;Recôncavo;7-DJ-832-BA;7DJ832BA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;7,2858;0,0000;7,2858;0,1165;0,0000;0,1165;3,61000;768,8370;Estação Dom João;INSTALACAO EMB/DESEMB;564;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Ceará;Potiguar;7-FZB-1001-CE;7FZB1001CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;11,4483;0,0000;11,4483;0,0145;0,0000;0,0145;0,45100;61,2824;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;724;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1739-RN;7ET1739RN;ESTREITO;Petrobras;480000037939797;2023/03;1,5779;0,0000;1,5779;0,0006;0,0000;0,0006;0,02000;133,4771;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;739;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1280D-RN;7ET1280DRN;ESTREITO;Petrobras;480000037939797;2023/03;1,2513;0,0000;1,2513;0,0005;0,0000;0,0005;0,01600;175,2459;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;699;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Alagoas;Alagoas;7-CSMC-17-AL;7CSMC0017  AL;FURADO;Origem Alagoas;480000038549780;2023/03;0,0000;0,0000;0,0000;0,0000;22,5994;22,5994;700,58200;0,2059;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;739;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;81,18;9,38;3,51;0,53;0,91;0,21;0,28;0,28;0,02;0,07;0,01;0,01;0,02;0;3,37;0,22;2,0067;528,83947;39135,0095;09/05/2023
Sergipe;Sergipe;7-SZ-266-SE;7SZ  0266  SE;SIRIRIZINHO;Carmo;480000038629716;2023/03;1,9823;0,0000;1,9823;0,0109;0,0000;0,0109;0,33900;55,7429;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;701;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;68,0469;6,4159;7,7088;2,6927;3,2177;1,7595;0,7194;0,1944;0;0;0;0;0;0;0,4569;8,7878;2,0905;538,90301;35822,8537;09/05/2023
Ceará;Potiguar;7-FZB-305-CE;7FZB 0305  CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;0,5628;0,0000;0,5628;0,0007;0,0000;0,0007;0,02200;8,0660;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;728;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Sergipe;Sergipe;9-CP-860-SE;9CP  0860  SE;CARMÓPOLIS;Carmo;480000038479714;2023/03;12,5727;0,0000;12,5727;0,2582;0,0000;0,2582;8,00500;152,3252;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;09/05/2023
Espírito Santo;Espírito Santo;7-CNC-21-ES;7CNC21ES;CANCÃ;Seacrest;486100094912003;2023/03;49,1524;0,0000;49,1524;0,0547;0,0000;0,0547;1,69600;246,9463;Ponto de Coleta área do CNC-6 (Cancã);INSTALACAO EMB/DESEMB;716;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;09/05/2023
Ceará;Potiguar;7-FZB-953-CE;7FZB953CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;5,0101;0,0000;5,0101;0,0064;0,0000;0,0064;0,19800;39,2894;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;728;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1225-RN;7ET1225RN;ESTREITO;Petrobras;480000037939797;2023/03;12,6362;0,0000;12,6362;0,0052;0,0000;0,0052;0,16200;495,5845;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;736;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1294D-RN;7ET1294DRN;ESTREITO;Petrobras;480000037939797;2023/03;4,0892;0,0000;4,0892;0,0017;0,0000;0,0017;0,05200;281,8612;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;717;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Alagoas;Alagoas;7-FU-29-AL;7FU  0029  AL;FURADO;Origem Alagoas;480000038549780;2023/03;0,0000;0,0000;0,0000;0,0000;13,2996;13,2996;412,28800;0,0000;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;743;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;81,18;9,38;3,51;0,53;0,91;0,21;0,28;0,28;0,02;0,07;0,01;0,01;0,02;0;3,37;0,22;2,0067;528,83947;39135,0095;09/05/2023
Sergipe;Sergipe;7-SZ-264-SE;7SZ  0264  SE;SIRIRIZINHO;Carmo;480000038629716;2023/03;0,4914;0,0000;0,4914;0,0027;0,0000;0,0027;0,08400;3,0564;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;58;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;68,0469;6,4159;7,7088;2,6927;3,2177;1,7595;0,7194;0,1944;0;0;0;0;0;0;0,4569;8,7878;2,0905;538,90301;35822,8537;09/05/2023
Ceará;Potiguar;3-FZB-4-CE;3FZB 0004  CE;FAZENDA BELÉM CE;3R Fazenda Belém;480000037959712;2023/03;2,3272;0,0000;2,3272;0,0030;0,0000;0,0030;0,09200;85,9862;Estação Coletora de Fazenda Belém 5;INSTALACAO EMB/DESEMB;731;2017/02;Fazenda Belém;13,2;< 290ºC;8.06%;290ºC a 380ºC;10.43%;> 380ºC;81.51%;;;;;;;;;;;;;;;;;;;;09/05/2023
Sergipe;Sergipe;9-CP-868-SE;9CP  0868  SE;CARMÓPOLIS;Carmo;480000038479714;2023/03;27,4737;0,0000;27,4737;0,3915;0,0000;0,3915;12,13700;1.067,3089;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;734;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;09/05/2023
Espírito Santo;Espírito Santo;7-CNC-10-ES;7CNC10ES;CANCÃ;Seacrest;486100094912003;2023/03;37,9119;0,0000;37,9119;0,0060;0,0000;0,0060;0,18700;220,9403;Tanque isolado CBV2 (Cancã);INSTALACAO EMB/DESEMB;725;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;09/05/2023
Alagoas;Alagoas;7-TM-56D-AL;7TM  0056D AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2023/03;7,0243;0,0000;7,0243;0,0471;0,0000;0,0471;1,20100;14,0437;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;663;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1197D-RN;7ET1197DRN;ESTREITO;Petrobras;480000037939797;2023/03;1,8123;0,0000;1,8123;0,0007;0,0000;0,0007;0,02300;452,5177;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;713;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-403-RN;7ET  0403  RN;ESTREITO;Petrobras;480000037939797;2023/03;11,5400;0,0000;11,5400;0,0048;0,0000;0,0048;0,14800;20,4194;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;664;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Alagoas;Alagoas;7-FU-108-AL;7FU  0108  AL;FURADO;Origem Alagoas;480000038549780;2023/03;7,9325;0,0000;7,9325;0,8157;0,0000;0,8157;25,28600;21,4044;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;735;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;81,18;9,38;3,51;0,53;0,91;0,21;0,28;0,28;0,02;0,07;0,01;0,01;0,02;0;3,37;0,22;2,0067;528,83947;39135,0095;09/05/2023
Sergipe;Sergipe;7-SZ-263-SE;7SZ  0263  SE;SIRIRIZINHO;Carmo;480000038629716;2023/03;12,6305;0,0000;12,6305;0,0696;0,0000;0,0696;2,15700;91,7054;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;68,0469;6,4159;7,7088;2,6927;3,2177;1,7595;0,7194;0,1944;0;0;0;0;0;0;0,4569;8,7878;2,0905;538,90301;35822,8537;09/05/2023
Sergipe;Sergipe;7-RB-2-SE;7-RB-01-SE;RABO BRANCO;Petrom;48610009198200558;2023/03;78,0180;0,0000;78,0180;1,3987;0,0000;1,3987;43,36000;86,4812;Ponto de Coleta TLD 4-GALP-36-SE;INSTALACAO EMB/DESEMB;744;2020/01;RABO BRANCO;34,9;< 270ºC;35.6%;270ºC a 458ºC;33.1%;> 458ºC;31.3%;68,9969;11,3481;6,9599;1,6022;2,337;1,0817;0,6123;0,2551;0;0;0;0;0;0;6,5211;0,2857;2,04797;533,79764;38542,78;09/05/2023
Sergipe;Sergipe;9-CP-847-SE;9CP  0847  SE;CARMÓPOLIS;Carmo;480000038479714;2023/03;24,4067;0,0000;24,4067;0,0028;0,0000;0,0028;0,08600;459,9054;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;09/05/2023
Espírito Santo;Espírito Santo;7-CNC-38-ES;7CNC38ES;CANCÃ;Seacrest;486100094912003;2023/03;10,1185;0,0000;10,1185;0,0064;0,0000;0,0064;0,19900;73,4358;Ponto de Coleta área do CNC-6 (Cancã);INSTALACAO EMB/DESEMB;716;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;09/05/2023
Alagoas;Alagoas;7-TM-51D-AL;7TM  0051D AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2023/03;18,5332;0,0000;18,5332;0,3710;0,0000;0,3710;9,45500;8,1331;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;744;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-362-RN;7ET  0362  RN;ESTREITO;Petrobras;480000037939797;2023/03;1,3466;0,0000;1,3466;0,0005;0,0000;0,0005;0,01700;217,9095;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Alagoas;Alagoas;7-PIR-271D-AL;7PIR271DAL;PILAR;Origem Alagoas;480000038599701;2023/03;0,0000;6,9178;6,9178;0,0000;1,1752;1,1752;33,34400;0,7355;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;701;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;86,27;4,72;2,71;0,47;1,15;0,36;0,36;0,41;0,17;0,21;0,06;0,02;0,07;0;2,31;0,71;2,05735;534,88286;37951,2624;09/05/2023
Alagoas;Alagoas;7-FU-23-AL;7FU  0023  AL;FURADO;Origem Alagoas;480000038549780;2023/03;4,4830;0,0000;4,4830;0,8949;0,0000;0,8949;27,74100;54,5807;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;679;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;81,18;9,38;3,51;0,53;0,91;0,21;0,28;0,28;0,02;0,07;0,01;0,01;0,02;0;3,37;0,22;2,0067;528,83947;39135,0095;09/05/2023
Rio Grande do Norte;Potiguar;1-BRSA-521-RN;1RPV1RN;IRAÚNA;Imetame;48610007067201770;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora Iraúna A (EC-IRA-A);INSTALACAO EMB/DESEMB;0;2020/01;Iraúna;34,2;< 270ºC;31%;270ºC a 458ºC;40.4%;> 458ºC;28.6%;69,70728;11,70388;8,03628;1,16007;2,41514;0,4489;0,67697;0,63263;0;0;0;0;0;0,01197;5,00721;0,19967;2,01636;530,00621;39367,6961;09/05/2023
Sergipe;Sergipe;1-GALP-12-SE;KRISHNA;RABO BRANCO;Petrom;48610009198200558;2023/03;12,2895;0,0000;12,2895;0,0395;0,0000;0,0395;1,22300;56,4149;Ponto de Coleta TLD 1-GALP-12-SE;INSTALACAO EMB/DESEMB;488;2020/01;RABO BRANCO;34,9;< 270ºC;35.6%;270ºC a 458ºC;33.1%;> 458ºC;31.3%;68,9969;11,3481;6,9599;1,6022;2,337;1,0817;0,6123;0,2551;0;0;0;0;0;0;6,5211;0,2857;2,04797;533,79764;38542,78;09/05/2023
Sergipe;Sergipe;9-CP-560-SE;9CP  0560  SE;CARMÓPOLIS;Carmo;480000038479714;2023/03;0,2895;0,0000;0,2895;0,0000;0,0000;0,0000;0,00100;122,2934;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;344;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;09/05/2023
Espírito Santo;Espírito Santo;7-CNC-42D-ES;7CNC42DES;CANCÃ;Seacrest;486100094912003;2023/03;54,4123;0,0000;54,4123;0,0173;0,0000;0,0173;0,53600;244,5567;Ponto de Coleta CNC-35;INSTALACAO EMB/DESEMB;713;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;09/05/2023
Alagoas;Alagoas;7-TM-50D-AL;7TM  0050D AL;TABULEIRO DOS MARTINS;Petrosynergy;480000038649733;2023/03;9,0042;0,0000;9,0042;0,0689;0,0000;0,0689;1,75500;17,9160;Estação Coletora de Tabuleiro dos Martins;INSTALACAO EMB/DESEMB;744;2015/07;Tabuleiro;26,2;< 290ºC;27.8%;290ºC a 380ºC;13.4%;> 380ºC;58.8%;85,99;4,48;5,12;0,98;1,38;0,3;0,22;0,12;0;0;0;0;0;0;1,06;0,35;2,02017;530,47671;38572,2572;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1252-RN;7ET1252RN;ESTREITO;Petrobras;480000037939797;2023/03;2,4062;0,0000;2,4062;0,0010;0,0000;0,0010;0,03100;723,1946;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;709;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Alagoas;Alagoas;7-PIR-237D-AL;7PIR237DAL;PILAR;Origem Alagoas;480000038599701;2023/03;0,0000;0,0000;0,0000;7,9594;0,0000;7,9594;225,84100;0,0000;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;740;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;86,27;4,72;2,71;0,47;1,15;0,36;0,36;0,41;0,17;0,21;0,06;0,02;0,07;0;2,31;0,71;2,05735;534,88286;37951,2624;09/05/2023
Alagoas;Alagoas;7-FU-105-AL;7FU  0105  AL;FURADO;Origem Alagoas;480000038549780;2023/03;4,8641;0,0000;4,8641;1,3431;0,0000;1,3431;41,63500;8,5690;Estação Coletora de Furado;INSTALACAO EMB/DESEMB;701;2017/02;Alagoano;40,8;< 210ºC;30.74%;210ºC a 500ºC;48.66%;> 500ºC;20.6%;81,18;9,38;3,51;0,53;0,91;0,21;0,28;0,28;0,02;0,07;0,01;0,01;0,02;0;3,37;0,22;2,0067;528,83947;39135,0095;09/05/2023
Rio Grande do Norte;Potiguar;3-BRSA-695-RN;3RPV2RN;IRAÚNA;Imetame;48610007067201770;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação Coletora Iraúna A (EC-IRA-A);INSTALACAO EMB/DESEMB;0;2020/01;Iraúna;34,2;< 270ºC;31%;270ºC a 458ºC;40.4%;> 458ºC;28.6%;69,70728;11,70388;8,03628;1,16007;2,41514;0,4489;0,67697;0,63263;0;0;0;0;0;0,01197;5,00721;0,19967;2,01636;530,00621;39367,6961;09/05/2023
Rio Grande do Norte;Potiguar;3-UPN-9-RN;3UPN 0009  RN;UPANEMA;Potiguar E&P S.A.;480000038339718;2023/03;0,0000;12,3106;12,3106;0,0000;3,1305;3,1305;96,69200;3,2173;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;736;;;;< ºC;%;;%;> ºC;%;89,3519;3,6438;2,1064;0,5252;0,657;0,2373;0,2243;0,2086;0,1143;0,0264;0,0008;0;0;0,0059;2,6684;0,2297;2,04749;533,72615;37666,8475;09/05/2023
Sergipe;Sergipe;9-CP-850-SE;9CP  0850  SE;CARMÓPOLIS;Carmo;480000038479714;2023/03;73,8162;0,0000;73,8162;0,0084;0,0000;0,0084;0,26100;914,1435;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;09/05/2023
