Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-ET-660-RN;7ET  0660  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;1,3582;0;1,3582;0,0006;0;0,0006;0,017;119,5963;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Bahia;Recôncavo;1-LP-1-BA;1LP  0001  BA;LAGOA DO PAULO;Recôncavo E&P;486100092312002;2023/06;18,1478;0;18,1478;0,115;0;0,115;3,45;91,683;Estação Coletora de Lagoa do Paulo;INSTALACAO EMB/DESEMB;653;2023/02;OURO PRETO;33,1;< 270ºC;21.34%;270ºC a 458ºC;21.9%;> 458ºC;56.76%;61,8135;12,3007;12,4826;4;3,4682;1,1314;1,0914;0,7233;0,3091;0,1351;0,0217;0,0007;0;0,0109;2,3506;0,1608;2,05544;534,69683;41189,3385;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-83-RN;7FP  0083  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;1,5888;0;1,5888;0,0096;0;0,0096;0,266;251,2358;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;3-LP-3-BA;3LP  0003  BA;LAGOA DO PAULO;Recôncavo E&P;486100092312002;2023/06;6,3617;0;6,3617;0,0752;0;0,0752;2,257;1,7293;Estação Coletora de Lagoa do Paulo;INSTALACAO EMB/DESEMB;624;2023/02;OURO PRETO;33,1;< 270ºC;21.34%;270ºC a 458ºC;21.9%;> 458ºC;56.76%;61,8135;12,3007;12,4826;4;3,4682;1,1314;1,0914;0,7233;0,3091;0,1351;0,0217;0,0007;0;0,0109;2,3506;0,1608;2,05544;534,69683;41189,3385;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-665-RN;7ET  0665  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;2,7719;0;2,7719;0,0011;0;0,0011;0,034;188,3964;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;181;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Bahia;Recôncavo;7-LP-9-BA;7LP  0009  BA;LAGOA DO PAULO;Recôncavo E&P;486100092312002;2023/06;8,9447;0;8,9447;0,158;0;0,158;4,74;4,5236;Estação Coletora de Lagoa do Paulo;INSTALACAO EMB/DESEMB;667;2023/02;OURO PRETO;33,1;< 270ºC;21.34%;270ºC a 458ºC;21.9%;> 458ºC;56.76%;61,8135;12,3007;12,4826;4;3,4682;1,1314;1,0914;0,7233;0,3091;0,1351;0,0217;0,0007;0;0,0109;2,3506;0,1608;2,05544;534,69683;41189,3385;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-82-RN;7FP  0082  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,5803;0;0,5803;0,0128;0;0,0128;0,356;38,6324;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;709;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;1-STAR-11-RN;1PRR1RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/06;10,7921;0;10,7921;0,0405;0;0,0405;1,216;0,0598;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;719;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-667-RN;7ET  0667  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;7,5402;0;7,5402;0,0031;0;0,0031;0,093;653,2605;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-SDM-23-RN;7-SDM-0023-RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/06;5,5319;0;5,5319;0,0256;0;0,0256;0,768;4,944;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;717;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-81-RN;7FP  0081  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,5954;0;0,5954;0,0152;0;0,0152;0,422;115,6962;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-SDM-22-RN;7SDM0022RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/06;6,0749;0;6,0749;0,0272;0;0,0272;0,815;1,0527;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;714;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-668-RN;7ET  0668  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;2,6696;0;2,6696;0,0011;0;0,0011;0,033;91,1331;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-SDM-21-RN;7SDM0021RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/06;0,9298;0;0,9298;0,0169;0;0,0169;0,508;1,7863;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;719;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-93-RN;7FP  0093  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;1,607;0;1,607;0,0415;0;0,0415;1,152;459,3832;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;7-BA-445D-BA;7BA445DBA;BURACICA;Petrobras;480000036359746;2023/06;23,9839;0;23,9839;0,032;0;0,032;0,961;364,6987;Estação Coletora Nova Tororó;INSTALACAO EMB/DESEMB;683;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-679-RN;7ET  0679  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;4,3205;0;4,3205;0,0018;0;0,0018;0,054;466,7383;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;708;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
