Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Bahia;Recôncavo;7-BA-442D-BA;7BA442DBA;BURACICA;Petrobras;480000036359746;2023/06;5,5424;0;5,5424;0,0331;0;0,0331;0,994;752,9991;Estação Coletora Lameiro;INSTALACAO EMB/DESEMB;563;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-356-RN;7FP356RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0;0;0;0;0;0;0;0;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;7-BA-118-BA;7BA  0118  BA;BURACICA;Petrobras;480000036359746;2023/06;1,8429;0;1,8429;0,0043;0;0,0043;0,13;218,8978;Estação Coletora Alvorada;INSTALACAO EMB/DESEMB;216;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-680D-RN;7ET  0680D RN;ESTREITO;3R Potiguar;480000037939797;2023/06;9,3569;0;9,3569;0,0039;0;0,0039;0,116;500,3496;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;709;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Bahia;Recôncavo;7-BA-457D-BA;7BA457DBA;BURACICA;Petrobras;480000036359746;2023/06;0,6246;0;0,6246;0,0015;0;0,0015;0,044;140,0797;Estação Coletora Lameiro;INSTALACAO EMB/DESEMB;69;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-91-RN;7FP  0091  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0;0;0;0;0;0;0;0;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;7-BA-173-BA;7BA  0173  BA;BURACICA;Petrobras;480000036359746;2023/06;12,0978;0;12,0978;0,0612;0;0,0612;1,835;939,9484;Estação Coletora Nova Tororó;INSTALACAO EMB/DESEMB;597;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-639-RN;7ET  0639  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;2,1922;0;2,1922;0,0009;0;0,0009;0,027;629,4641;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Bahia;Recôncavo;9-BA-288-BA;9BA  0288  BA;BURACICA;Petrobras;480000036359746;2023/06;6,1095;0;6,1095;0,0403;0;0,0403;1,209;963,5295;Estação Coletora Lameiro;INSTALACAO EMB/DESEMB;455;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-354-RN;7FP354RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,5351;0;0,5351;0,0138;0;0,0138;0,383;191,0763;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;7-BA-196-BA;7BA  0196  BA;BURACICA;Petrobras;480000036359746;2023/06;24,7722;0;24,7722;0,0748;0;0,0748;2,245;718,9544;Estação Coletora Nova Tororó;INSTALACAO EMB/DESEMB;683;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-381-RN;7ET  0381  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;2,2863;0;2,2863;0,0009;0;0,0009;0,028;5,6778;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Bahia;Recôncavo;7-BA-202-BA;7BA  0202  BA;BURACICA;Petrobras;480000036359746;2023/06;7,2306;0;7,2306;0,0063;0;0,0063;0,19;828,8951;Estação Coletora Pereira;INSTALACAO EMB/DESEMB;583;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-193-RN;7FP  0193  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,5265;0;0,5265;0,013;0;0,013;0,36;292,099;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;709;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Bahia;Recôncavo;7-BA-415D-BA;7BA415DBA;BURACICA;Petrobras;480000036359746;2023/06;1,5142;0;1,5142;0,0071;0;0,0071;0,212;149,2176;Estação Coletora Nova Tororó;INSTALACAO EMB/DESEMB;344;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;25,422;5,057;9,021;2,639;3,649;0,969;0,958;0,552;0,195;0,071;0,003;0;0;0,117;2,367;48,98;2,07679;537,25943;15947,0006;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-592-RN;7ET  0592  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;5,4965;0;5,4965;0,0023;0;0,0023;0,068;399,3266;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;176;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-1145-RN;7ET1145RN;ESTREITO;3R Potiguar;480000037939797;2023/06;2,0595;0;2,0595;0,0008;0;0,0008;0,025;743,3107;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;192;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-191-RN;7FP  0191  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,7254;0;0,7254;0,0143;0;0,0143;0,398;345,3271;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;713;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-1022D-RN;7ET1022DRN;ESTREITO;3R Potiguar;480000037939797;2023/06;11,1359;0;11,1359;0,0046;0;0,0046;0,137;401,7731;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-572-RN;7ET  0572  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;0,5032;0;0,5032;0,0002;0;0,0002;0,006;42,0335;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-1023-RN;7ET1023RN;ESTREITO;3R Potiguar;480000037939797;2023/06;0,5143;0;0,5143;0,0002;0;0,0002;0,006;31,1805;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;528;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-187-RN;7FP  0187  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0,9976;0;0,9976;0,0248;0;0,0248;0,688;37,1317;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;710;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-722-RN;7ARG722RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;1,5825;0;1,5825;0,001;0;0,001;0,03;31,9361;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-386-RN;7ET  0386  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;16,8433;0;16,8433;0,0069;0;0,0069;0,208;573,2063;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;709;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-614-RN;7ARG614RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;8,281;0;8,281;0,0051;0;0,0051;0,154;281,4304;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-185-RN;7FP  0185  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;1,1907;0;1,1907;0,0171;0;0,0171;0,474;204,3805;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;659;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-619-RN;7ARG619RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;2,8661;0;2,8661;0,0018;0;0,0018;0,053;115,2027;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;192;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-395-RN;7ET  0395  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;26,3308;0;26,3308;0,0108;0;0,0108;0,324;17,1265;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-651-RN;7ARG651RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;3,5558;0;3,5558;0,0022;0;0,0022;0,066;105,7864;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-FP-181-RN;7FP  0181  RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/06;0;0;0;0;0;0;0;0;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-650-RN;7ARG650RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;0;0;0;0;0;0;0;0;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ET-403-RN;7ET  0403  RN;ESTREITO;3R Potiguar;480000037939797;2023/06;12,2488;0;12,2488;0,005;0;0,005;0,15;4,657;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;192;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;07/08/2023 02:49
Rio Grande do Norte;Potiguar;7-ARG-65-RN;7ARG 0065  RN;ALTO DO RODRIGUES;3R Potiguar;480000037849704;2023/06;1,2185;0;1,2185;0,0008;0;0,0008;0,023;18,0027;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;720;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;07/08/2023 02:49
