Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-ET-717-RN;7ET  0717  RN;ESTREITO;3R Potiguar;480000037939797;2023/05;2,16;0;2,16;0,0009;0;0,0009;0,028;37,8087;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;612;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-87-RN;7CAM 0087  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;15,5145;0;15,5145;0,0025;0;0,0025;0,075;1654,9742;Estação Coletora Canto do Amaro G;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1352D-SE;7CP  1352D SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;4,0184;0;4,0184;0,0003;0;0,0003;0,008;188,9435;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;567;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Sergipe;Sergipe;9-CP-496-SE;9CP  0496  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,6915;0;3,6915;0,0003;0;0,0003;0,008;33,8511;Estação Coletora de Nova Magalhães;INSTALACAO EMB/DESEMB;434;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-ET-1808-RN;7ET1808RN;ESTREITO;3R Potiguar;480000037939797;2023/05;5,899;0;5,899;0,0025;0;0,0025;0,076;784,2839;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;734;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-141-RN;7CAM 0141  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;12,6153;0;12,6153;0,002;0;0,002;0,061;1338,6686;Estação Coletora Canto do Amaro G;INSTALACAO EMB/DESEMB;728;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1452-SE;7CP1452SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;4,0182;0;4,0182;0,0003;0;0,0003;0,008;337,5587;Estação Coletora de Mercês;INSTALACAO EMB/DESEMB;355;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-ET-1038D-RN;7ET1038DRN;ESTREITO;3R Potiguar;480000037939797;2023/05;16,8303;0;16,8303;0,007;0;0,007;0,216;54,5525;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;735;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-ET-1892-RN;7-ET-1892-RN;ESTREITO;3R Potiguar;480000037939797;2023/05;3,9603;0;3,9603;0,0016;0;0,0016;0,051;117,825;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-603-RN;7CAM 0603  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;15,2613;0;15,2613;0,0024;0;0,0024;0,074;973,8799;Estação Coletora Canto do Amaro D;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-92-SE;7CP  0092  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,9242;0;3,9242;0,0709;0;0,0709;2,199;183,3035;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;729;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1731-SE;7CP1731SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,6856;0;3,6856;0,0003;0;0,0003;0,008;228,9688;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-RP-90-RN;7RP  0090  RN;ESTREITO;3R Potiguar;480000037939797;2023/05;0,1002;0;0,1002;0;0;0;0,001;14,2673;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;35;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-412-RN;7CAM 0412  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;8,336;0;8,336;0,0013;0;0,0013;0,04;1004,8045;Estação Coletora Canto do Amaro G;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1535-SE;7CP1535SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,8723;0;3,8723;0,0003;0;0,0003;0,008;191,449;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;684;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-ET-1440-RN;7ET1440RN;ESTREITO;3R Potiguar;480000037939797;2023/05;0,5448;0;0,5448;0,0002;0;0,0002;0,007;427,634;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;734;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-ET-975-RN;7ET975RN;ESTREITO;3R Potiguar;480000037939797;2023/05;2,2856;0;2,2856;0,0009;0;0,0009;0,029;244,7375;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;725;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-42-RN;7CAM 0042  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;3,9969;0;3,9969;0,0006;0;0,0006;0,019;427,8461;Estação Coletora Canto do Amaro G;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-659-SE;7CP  0659  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,8713;0;3,8713;0,0002;0;0,0002;0,007;18,0842;Estação Coletora de Jordão;INSTALACAO EMB/DESEMB;743;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Sergipe;Sergipe;3-BRSA-912-SE;3CP1851SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;4,5193;0;4,5193;0,0003;0;0,0003;0,008;0;Ponto de Coleta área do CP-0507;INSTALACAO EMB/DESEMB;743;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-1217-RN;7CAM1217RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;12,0245;0;12,0245;0,0019;0;0,0019;0,058;227,5367;Estação Coletora Canto do Amaro F;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
